Date,Strategy,LegID,OptionType,Strike,Expiry,DTE,SpotPrice,IntendedEntryTime,EntryTime,EntryPrice,EntryDelayed,EntryDelayMinutes,ExitTime,ExitPrice,ExitReason,SLPrice,Qty,PnL
2025-01-06,ITMStraddle,CE,CE,23900,2025-01-09,3,24022.4,09:20,2025-01-06 09:20:00+05:30,215.25,False,0,2025-01-06 15:15:00+05:30,77.05000305175781,TIME_EXIT,301.3500061035156,-1,138.1999969482422
2025-01-06,ITMStraddle,PE,PE,24100,2025-01-09,3,24022.4,09:20,2025-01-06 09:20:00+05:30,194.39999389648438,False,0,2025-01-06 09:36:00+05:30,288.20001220703125,SL_HIT,272.15997314453125,-1,-93.80001831054688
2025-01-07,ITMStraddle,CE,CE,23700,2025-01-09,2,23750.9,09:20,2025-01-07 09:20:00+05:30,190.64999389648438,False,0,2025-01-07 15:15:00+05:30,124.25,TIME_EXIT,266.90997314453125,-1,66.39999389648438
2025-01-07,ITMStraddle,PE,PE,23900,2025-01-09,2,23750.9,09:20,2025-01-07 09:20:00+05:30,252.3000030517578,False,0,2025-01-07 15:15:00+05:30,244.0,TIME_EXIT,353.2200012207031,-1,8.300003051757812
2025-01-08,ITMStraddle,CE,CE,23600,2025-01-09,1,23672.75,09:20,2025-01-08 09:20:00+05:30,140.0,False,0,2025-01-08 15:15:00+05:30,126.94999694824219,TIME_EXIT,196.0,-1,13.050003051757812
2025-01-08,ITMStraddle,PE,PE,23800,2025-01-09,1,23672.75,09:20,2025-01-08 09:20:00+05:30,183.0,False,0,2025-01-08 10:41:00+05:30,270.0,SL_HIT,256.1999816894531,-1,-87.0
2025-01-09,ITMStraddle,CE,CE,23500,2025-01-09,0,23615.9,09:20,2025-01-09 09:20:00+05:30,126.5999984741211,False,0,2025-01-09 15:15:00+05:30,18.899999618530273,TIME_EXIT,177.239990234375,-1,107.69999694824219
2025-01-09,ITMStraddle,PE,PE,23700,2025-01-09,0,23615.9,09:20,2025-01-09 09:20:00+05:30,120.8499984741211,False,0,2025-01-09 10:47:00+05:30,176.8000030517578,SL_HIT,169.19000244140625,-1,-55.95000457763672
2025-01-10,ITMStraddle,CE,CE,23500,2025-01-16,6,23588.95,09:20,2025-01-10 09:20:00+05:30,219.5,False,0,2025-01-10 15:15:00+05:30,137.60000610351562,TIME_EXIT,307.29998779296875,-1,81.89999389648438
2025-01-10,ITMStraddle,PE,PE,23700,2025-01-16,6,23588.95,09:20,2025-01-10 09:20:00+05:30,239.39999389648438,False,0,2025-01-10 09:49:00+05:30,338.3500061035156,SL_HIT,335.15997314453125,-1,-98.95001220703125
2025-01-13,ITMStraddle,CE,CE,23100,2025-01-16,3,23231.75,09:20,2025-01-13 09:20:00+05:30,259.29998779296875,False,0,2025-01-13 15:15:00+05:30,152.6999969482422,TIME_EXIT,363.0199890136719,-1,106.59999084472656
2025-01-13,ITMStraddle,PE,PE,23300,2025-01-16,3,23231.75,09:20,2025-01-13 09:20:00+05:30,195.39999389648438,False,0,2025-01-13 14:38:00+05:30,280.0,SL_HIT,273.55999755859375,-1,-84.60000610351562
2025-01-14,ITMStraddle,CE,CE,23100,2025-01-16,2,23208.85,09:20,2025-01-14 09:20:00+05:30,196.8000030517578,False,0,2025-01-14 15:15:00+05:30,176.64999389648438,TIME_EXIT,275.5199890136719,-1,20.150009155273438
2025-01-14,ITMStraddle,PE,PE,23300,2025-01-16,2,23208.85,09:20,2025-01-14 09:20:00+05:30,148.6999969482422,False,0,2025-01-14 15:15:00+05:30,120.0999984741211,TIME_EXIT,208.17999267578125,-1,28.599998474121094
2025-01-15,ITMStraddle,CE,CE,23100,2025-01-16,1,23221.95,09:20,2025-01-15 09:20:00+05:30,177.3000030517578,False,0,2025-01-15 15:15:00+05:30,133.60000610351562,TIME_EXIT,248.22000122070312,-1,43.69999694824219
2025-01-15,ITMStraddle,PE,PE,23300,2025-01-16,1,23221.95,09:20,2025-01-15 09:20:00+05:30,108.5,False,0,2025-01-15 09:37:00+05:30,155.0,SL_HIT,151.89999389648438,-1,-46.5
2025-01-16,ITMStraddle,CE,CE,23200,2025-01-16,0,23326.65,09:20,2025-01-16 09:20:00+05:30,133.39999389648438,False,0,2025-01-16 15:15:00+05:30,105.3499984741211,TIME_EXIT,186.75999450683594,-1,28.04999542236328
2025-01-16,ITMStraddle,PE,PE,23400,2025-01-16,0,23326.65,09:20,2025-01-16 09:20:00+05:30,94.44999694824219,False,0,2025-01-16 10:14:00+05:30,132.3000030517578,SL_HIT,132.22999572753906,-1,-37.850006103515625
2025-01-17,ITMStraddle,CE,CE,23100,2025-01-23,6,23184.8,09:20,2025-01-17 09:20:00+05:30,239.60000610351562,False,0,2025-01-17 12:20:00+05:30,338.54998779296875,SL_HIT,335.44000244140625,-1,-98.94998168945312
2025-01-17,ITMStraddle,PE,PE,23300,2025-01-23,6,23184.8,09:20,2025-01-17 09:20:00+05:30,233.5,False,0,2025-01-17 15:15:00+05:30,195.0,TIME_EXIT,326.8999938964844,-1,38.5
2025-01-20,ITMStraddle,CE,CE,23100,2025-01-23,3,23213.65,09:20,2025-01-20 09:20:00+05:30,250.5500030517578,False,0,2025-01-20 13:15:00+05:30,353.0,SL_HIT,350.7699890136719,-1,-102.44999694824219
2025-01-20,ITMStraddle,PE,PE,23300,2025-01-23,3,23213.65,09:20,2025-01-20 09:20:00+05:30,193.5500030517578,False,0,2025-01-20 15:15:00+05:30,109.3499984741211,TIME_EXIT,270.9700012207031,-1,84.20000457763672
2025-01-21,ITMStraddle,CE,CE,23300,2025-01-23,2,23398.55,09:20,2025-01-21 09:20:00+05:30,184.89999389648438,False,0,2025-01-21 15:15:00+05:30,46.75,TIME_EXIT,258.8599853515625,-1,138.14999389648438
2025-01-21,ITMStraddle,PE,PE,23500,2025-01-23,2,23398.55,09:20,2025-01-21 09:20:00+05:30,184.0500030517578,False,0,2025-01-21 09:57:00+05:30,270.6499938964844,SL_HIT,257.6700134277344,-1,-86.59999084472656
2025-01-22,ITMStraddle,CE,CE,23000,2025-01-23,1,23109.2,09:20,2025-01-22 09:20:00+05:30,181.60000610351562,False,0,2025-01-22 15:15:00+05:30,179.60000610351562,TIME_EXIT,254.24000549316406,-1,2.0
2025-01-22,ITMStraddle,PE,PE,23200,2025-01-23,1,23109.2,09:20,2025-01-22 09:20:00+05:30,162.0,False,0,2025-01-22 15:15:00+05:30,83.0,TIME_EXIT,226.8000030517578,-1,79.0
2025-01-23,ITMStraddle,CE,CE,23000,2025-01-23,0,23108.4,09:20,2025-01-23 09:20:00+05:30,135.64999389648438,False,0,2025-01-23 09:37:00+05:30,197.0,SL_HIT,189.9099884033203,-1,-61.350006103515625
2025-01-23,ITMStraddle,PE,PE,23200,2025-01-23,0,23108.4,09:20,2025-01-23 09:20:00+05:30,106.30000305175781,False,0,2025-01-23 15:15:00+05:30,0.15000000596046448,TIME_EXIT,148.82000732421875,-1,106.1500015258789
2025-01-24,ITMStraddle,CE,CE,23200,2025-01-30,6,23274.9,09:20,2025-01-24 09:20:00+05:30,242.35000610351562,False,0,2025-01-24 15:15:00+05:30,128.85000610351562,TIME_EXIT,339.2900085449219,-1,113.5
2025-01-24,ITMStraddle,PE,PE,23400,2025-01-30,6,23274.9,09:20,2025-01-24 09:20:00+05:30,243.3000030517578,False,0,2025-01-24 10:00:00+05:30,349.6499938964844,SL_HIT,340.6199951171875,-1,-106.34999084472656
2025-01-27,ITMStraddle,CE,CE,22800,2025-01-30,3,22915.05,09:20,2025-01-27 09:20:00+05:30,245.9499969482422,False,0,2025-01-27 15:15:00+05:30,185.0,TIME_EXIT,344.3299865722656,-1,60.94999694824219
2025-01-27,ITMStraddle,PE,PE,23000,2025-01-30,3,22915.05,09:20,2025-01-27 09:20:00+05:30,210.3000030517578,False,0,2025-01-27 15:15:00+05:30,234.64999389648438,TIME_EXIT,294.4200134277344,-1,-24.349990844726562
2025-01-28,ITMStraddle,CE,CE,22800,2025-01-30,2,22916.1,09:20,2025-01-28 09:20:00+05:30,237.1999969482422,False,0,2025-01-28 13:15:00+05:30,333.3999938964844,SL_HIT,332.0799865722656,-1,-96.19999694824219
2025-01-28,ITMStraddle,PE,PE,23000,2025-01-30,2,22916.1,09:20,2025-01-28 09:20:00+05:30,167.1999969482422,False,0,2025-01-28 09:51:00+05:30,237.14999389648438,SL_HIT,234.07998657226562,-1,-69.94999694824219
2025-01-29,ITMStraddle,CE,CE,22900,2025-01-30,1,23019.45,09:20,2025-01-29 09:20:00+05:30,219.1999969482422,False,0,2025-01-29 10:59:00+05:30,310.1000061035156,SL_HIT,306.8800048828125,-1,-90.90000915527344
2025-01-29,ITMStraddle,PE,PE,23100,2025-01-30,1,23019.45,09:20,2025-01-29 09:20:00+05:30,159.10000610351562,False,0,2025-01-29 11:24:00+05:30,234.9499969482422,SL_HIT,222.74000549316406,-1,-75.84999084472656
2025-01-30,ITMStraddle,CE,CE,23100,2025-01-30,0,23155.55,09:20,2025-01-30 09:20:00+05:30,159.35000610351562,False,0,2025-01-30 10:09:00+05:30,230.0,SL_HIT,223.0900115966797,-1,-70.64999389648438
2025-01-30,ITMStraddle,PE,PE,23300,2025-01-30,0,23155.55,09:20,2025-01-30 09:20:00+05:30,213.4499969482422,False,0,2025-01-30 15:15:00+05:30,63.25,TIME_EXIT,298.8299865722656,-1,150.1999969482422
2025-01-31,ITMStraddle,CE,CE,23200,2025-02-06,6,23294.8,09:20,2025-01-31 09:20:00+05:30,406.1000061035156,False,0,2025-01-31 15:15:00+05:30,481.25,TIME_EXIT,568.5399780273438,-1,-75.14999389648438
2025-01-31,ITMStraddle,PE,PE,23400,2025-02-06,6,23294.8,09:20,2025-01-31 09:20:00+05:30,341.3999938964844,False,0,2025-01-31 15:15:00+05:30,180.60000610351562,TIME_EXIT,477.9599914550781,-1,160.79998779296875
2025-02-03,ITMStraddle,CE,CE,23100,2025-02-06,3,23247.15,09:20,2025-02-03 09:20:00+05:30,278.6499938964844,False,0,2025-02-03 15:15:00+05:30,320.6000061035156,TIME_EXIT,390.1099853515625,-1,-41.95001220703125
2025-02-03,ITMStraddle,PE,PE,23300,2025-02-06,3,23247.15,09:20,2025-02-03 09:20:00+05:30,139.8000030517578,False,0,2025-02-03 15:15:00+05:30,82.19999694824219,TIME_EXIT,195.72000122070312,-1,57.600006103515625
2025-02-04,ITMStraddle,CE,CE,23400,2025-02-06,2,23514.35,09:20,2025-02-04 09:20:00+05:30,162.8000030517578,False,0,2025-02-04 09:39:00+05:30,235.8000030517578,SL_HIT,227.9199981689453,-1,-73.0
2025-02-04,ITMStraddle,PE,PE,23600,2025-02-06,2,23514.35,09:20,2025-02-04 09:20:00+05:30,154.64999389648438,False,0,2025-02-04 10:35:00+05:30,224.35000610351562,SL_HIT,216.50999450683594,-1,-69.70001220703125
2025-02-05,ITMStraddle,CE,CE,23700,2025-02-06,1,23751.7,09:20,2025-02-05 09:20:00+05:30,107.05000305175781,False,0,2025-02-05 15:15:00+05:30,64.4000015258789,TIME_EXIT,149.8699951171875,-1,42.650001525878906
2025-02-05,ITMStraddle,PE,PE,23900,2025-02-06,1,23751.7,09:20,2025-02-05 09:20:00+05:30,196.35000610351562,False,0,2025-02-05 15:15:00+05:30,237.39999389648438,TIME_EXIT,274.8900146484375,-1,-41.04998779296875
2025-02-06,ITMStraddle,CE,CE,23600,2025-02-06,0,23718.0,09:20,2025-02-06 09:20:00+05:30,126.30000305175781,False,0,2025-02-06 15:15:00+05:30,0.550000011920929,TIME_EXIT,176.82000732421875,-1,125.75
2025-02-06,ITMStraddle,PE,PE,23800,2025-02-06,0,23718.0,09:20,2025-02-06 09:20:00+05:30,126.4000015258789,False,0,2025-02-06 09:33:00+05:30,187.64999389648438,SL_HIT,176.9600067138672,-1,-61.24999237060547
2025-02-07,ITMStraddle,CE,CE,23500,2025-02-13,6,23583.25,09:20,2025-02-07 09:20:00+05:30,267.8500061035156,False,0,2025-02-07 15:15:00+05:30,204.75,TIME_EXIT,374.989990234375,-1,63.100006103515625
